Glottocode,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family
lake1258,Lake Miwok,North America,39.0021,-122.621,lmw,Miwok-Costanoan
muts1243,Mutsun,North America,36.84721,-121.44911,css,Miwok-Costanoan
yaqu1251,Yaqui,North America,29.9446,-110.681,yaq,Uto-Aztecan
mari1424,Marithiel,Australia,-13.8818,130.237,mfr,Western Daly
kron1241,Krongo,Africa,10.514,30.003,kgo,Kadugli-Krongo
embe1260,Emberá-Catío,South America,7.52721,-76.7476,cto,Chocoan
rama1270,Rama,North America,11.5007,-83.8571,rma,Chibchan
nung1290,Wubuy,Australia,-14.2623,135.753,nuy,Gunwinyguan
maya1285,Mayangna,North America,14.1259,-84.3439,yan,Misumalpan
kaya1319,Kayardild,Australia,-17.0695,139.489,gyd,Tangkic
wich1262,Weenhayek,South America,-21.988,-63.5971,mtp,Mataguayan
kyon1247,Kyongsangdo,Eurasia,35.3,128.3,,Koreanic
kari1311,Karitiâna,South America,-9.37937,-64.1522,ktn,Tupian
karo1305,Karo (Brazil),South America,-10.3342,-61.5691,arr,Tupian
juru1256,Yudja,South America,-10.9354,-53.3472,jur,Tupian
mund1330,Mundurukú,South America,-8.41095,-57.691,myu,Tupian
tusc1257,Tuscarora,North America,43.1303,-79.4214,tus,Iroquoian
moha1258,Mohawk,North America,43.72,-74.66836,moh,Iroquoian
bard1255,Bardi,Australia,-16.6274,122.906,bcj,Nyulnyulan
imon1245,Imonda,Papunesia,-3.31228,141.171,imn,Border
hida1246,Hidatsa,North America,47.33,-102.0,hid,Siouan
tute1247,Tutelo,North America,37.67,-78.75,tta,Siouan
kwak1269,Kwak'wala,North America,50.9269,-127.308,kwk,Wakashan
esee1248,Ese Ejja,South America,-11.7268,-67.515,ese,Pano-Tacanan
nucl1632,Sentani,Papunesia,-2.6013,140.512,set,Sentanic
daga1275,Daga,Papunesia,-9.9747,149.263,dgz,Dagan
cent2127,Central Alaskan Yupik,North America,60.3062,-161.486,esu,Eskimo-Aleut
gras1249,Grass Koiari,Papunesia,-9.51218,147.437,kbk,Koiarian
yoku1256,Northern Yokuts,North America,36.3167,-119.721,yok,Yokutsan
wang1291,Ngiyambaa,Australia,-30.6481,146.18,wyb,Pama-Nyungan
wayu1243,Wayuu,South America,11.395566,-72.199791,guc,Arawakan
yane1238,Yanesha',South America,-10.5454,-75.315,ame,Arawakan
tido1248,Tidore,Papunesia,0.02461,127.746,tvo,North Halmahera
yauy1235,Yauyos Quechua,South America,-12.62,-75.7,qux,Quechuan
ines1240,Ineseño,North America,34.6169,-120.08,inz,Chumashan
meny1245,Menya,Papunesia,-7.17425,146.071,mcr,Angan
lill1248,Lillooet,North America,50.7272,-122.04,lil,Salishan
wara1302,Bauni,Papunesia,-3.07263,142.012,bpe,Sko
manc1252,Manchu,Eurasia,47.31225,126.55713,mnc,Tungusic
ingu1240,Ingush,Eurasia,43.11,45.03,inh,Nakh-Daghestanian
chuk1273,Chukchi,Eurasia,68.6436,170.045,ckt,Chukotko-Kamchatkan
nucl1622,Marind,Papunesia,-8.15651,140.009,mrz,Anim
nucl1302,Georgian,Eurasia,41.850397,43.78613,kat,Kartvelian
hixk1239,Hixkaryána,South America,-0.16265,-58.80153,hix,Cariban
enap1235,Panare,South America,6.95035,-65.8483,pbh,Cariban
ikpe1245,Ikpeng,South America,-11.37822,-53.49553,txi,Cariban
kuik1246,Kuikúro-Kalapálo,South America,-12.3035,-53.2261,kui,Cariban
yukp1241,Yukpa,South America,9.67534,-73.0557,yup,Cariban
hupd1244,Hup,South America,0.58622,-69.8359,jup,Naduhup
yaki1237,Northwest Sahaptin,North America,46.2655,-120.756,yak,Sahaptian
iumi1238,Iu Mien,Eurasia,20.83,101.17,ium,Hmong-Mien
toto1305,Totontepec Mixe,North America,17.2157,-96.0179,mto,Mixe-Zoque
high1276,Highland Popoluca,North America,18.198,-94.9109,poi,Mixe-Zoque
alam1246,Alamblak,Papunesia,-4.66307,143.316,amp,Sepik
muru1274,Murui Huitoto,South America,-1.13669,-73.8331,huu,Huitotoan
kenu1243,Kenuzi,Africa,24.09,32.9,xnz,Nubian
murl1244,Murle,Africa,6.69756,33.988,mur,Surmic
sout2985,Southern Sierra Miwok,North America,38.2363,-120.507,skd,Miwok-Costanoan
nort2954,Northern Paiute,North America,40.0799,-119.536,pao,Uto-Aztecan
coma1245,Comanche,North America,34.0,-101.0,com,Uto-Aztecan
toho1245,Tohono O'odham,North America,31.7973,-111.995,ood,Uto-Aztecan
cube1242,Cubeo,South America,1.32382,-70.1939,cub,Tucanoan
kash1280,Kashaya,North America,38.5424,-123.08,kju,Pomoan
teri1250,Teribe,North America,9.067,-82.9631,tfr,Chibchan
chim1309,Chimila,South America,10.1902,-74.2559,cbg,Chibchan
xava1240,Xavánte,South America,-14.3017,-52.4367,xav,Nuclear-Macro-Je
maxa1247,Maxakalí,South America,-16.9402,-40.7891,mbl,Nuclear-Macro-Je
nene1249,Tundra Nenets,Eurasia,66.1775,71.0234,yrk,Uralic
guah1255,Sikuani,South America,5.81736,-68.9839,guh,Guahiboan
awet1244,Awetí,South America,-12.381944,-53.391944,awe,Tupian
gavi1246,Gavião Do Jiparaná,South America,-10.7235,-61.6752,gvo,Tupian
yaum1237,Yau-Nungon,Papunesia,-6.08274,146.841,yuw,Nuclear Trans New Guinea
kala1399,Kalaallisut,North America,69.3761,-52.864,kal,Eskimo-Aleut
thay1249,Thayore,Australia,-14.8159,142.034,thd,Pama-Nyungan
apur1254,Apurinã,South America,-8.21692,-66.7714,apu,Arawakan
imba1240,Imbabura Highland Quichua,South America,0.31776,-78.3729,qvi,Quechuan
sant1432,Santiago del Estero Quichua,South America,-27.821,-63.2466,qus,Quechuan
nort2980,North Junín Quechua,South America,-11.2132,-75.8128,qvn,Quechuan
hual1241,Huallaga Huánuco Quechua,South America,-9.57135,-75.594,qub,Quechuan
nort1550,Taos Northern Tiwa,North America,36.4277,-105.604,twf,Kiowa-Tanoan
halk1245,Halkomelem,North America,49.250402,-122.443668,hur,Salishan
uppe1439,Upper Chehalis,North America,46.7981,-123.169,cjh,Salishan
lako1248,Lakondê,South America,-13.2,-60.5,lkd,Nambiquaran
negi1245,Negidal,Eurasia,52.96584,139.20575,neg,Tungusic
miam1252,Miami,North America,40.0,-90.0,mia,Algic
maba1277,Maba (Chad),Africa,12.89147,20.8889,mde,Maban
nama1264,Nama (Namibia),Africa,-25.0747,17.9767,naq,Khoe-Kwadi
trio1238,Trió,South America,2.53616,-55.7599,tri,Cariban
yano1262,Yanomám,South America,2.48999,-62.8522,wca,Yanomamic
pila1245,Pilagá,South America,-25.0058,-60.1537,plg,Guaicuruan
mari1440,Maricopa,North America,33.5123,-111.749,mrc,Cochimi-Yuman
cahu1264,Cahuilla,North America,33.5324,-116.691,chl,Uto-Aztecan
halh1238,Halh Mongolian,Eurasia,48.32397,106.28874,khk,Mongolic-Khitan
guan1269,Kotiria,South America,1.07554,-69.5705,gvc,Tucanoan
sion1247,Siona-Tetete,South America,0.31733,-76.0237,snn,Tucanoan
hupa1239,Hupa-Chilula,North America,41.0982,-123.68,hup,Athabaskan-Eyak-Tlingit
kain1272,Kaingang,South America,-27.7671,-52.5394,kgp,Nuclear-Macro-Je
buki1249,Bukiyip,Papunesia,-3.47169,143.111,ape,Nuclear Torricelli
saki1248,Mekens,South America,-13.054,-62.0927,skf,Tupian
lako1247,Lakota,North America,46.3699,-103.95,lkt,Siouan
mats1244,Matsés,South America,-5.73914,-72.6281,mcf,Pano-Tacanan
yuca1254,Yucatec Maya,North America,18.7757,-88.9567,yua,Mayan
lang1324,Lango (Uganda),Africa,2.13867,33.0553,laj,Nilotic
mart1255,Martuthunira,Australia,-20.9294,116.607,vma,Pama-Nyungan
wapi1253,Wapishana,South America,2.58744,-59.8021,wap,Arawakan
gari1256,Garifuna,North America,15.3529,-86.9091,cab,Arawakan
pare1272,Parecís,South America,-14.5929,-57.4059,pab,Arawakan
tari1256,Tariana,South America,0.440205,-68.9042,tae,Arawakan
trin1274,Trinitario-Javeriano-Loretano,South America,-15.3331,-65.4096,trn,Arawakan
cent2050,Central Kanuri,Africa,11.8,13.13,knc,Saharan
wari1268,Wari',South America,-10.69948,-64.56152,pav,Chapacuran
swam1239,Swampy Cree,North America,56.0,-95.0,csw,Algic
miya1260,Miyako-Jima,Eurasia,24.7564,125.363,,Japonic
mali1285,Malinaltepec Me'phaa,North America,17.2122,-98.6322,tcf,Otomanguean
tete1251,Tetelcingo Nahuatl,North America,18.8854,-98.893,nhg,Uto-Aztecan
pipi1250,Pipil,North America,13.8931,-89.443,ppl,Uto-Aztecan
galo1242,Galo,Eurasia,27.9805586,94.6884956,adl,Sino-Tibetan
dukh1234,Dukha,Eurasia,51.9307,98.9318,,Turkic
bulo1242,Bulo Stieng,Eurasia,11.9777,106.798,sti,Austroasiatic
nort2942,North Slavey,North America,63.5,-125.67,scs,Athabaskan-Eyak-Tlingit
nava1243,Navajo,North America,36.33,-109.38,nav,Athabaskan-Eyak-Tlingit
ship1254,Shipibo-Conibo,South America,-7.17105,-74.8219,shp,Pano-Tacanan
popt1235,Popti',North America,15.6609,-91.6633,jac,Mayan
chol1282,Chol,North America,17.4897,-92.4698,ctu,Mayan
kich1262,K'iche',North America,14.5278,-91.1696,quc,Mayan
nant1250,Nanti,South America,-12.1018,-72.3507,cox,Arawakan
otta1242,Ottawa,North America,44.5988,-83.226,otw,Algic
quer1236,Querétaro Otomi,North America,20.1396,-100.115,otq,Otomanguean
cane1242,Central-Southern Timbira,South America,-6.10712,-45.1299,ram,Nuclear-Macro-Je
tupi1273,Tupinambá,South America,-22.807778,-42.106389,tpn,Tupian
kamb1316,Kambaata,Africa,7.37582,37.9088,ktb,Afro-Asiatic
male1292,Malecite-Passamaquoddy,North America,45.494475,-67.40805,pqm,Algic
magd1235,Magdalena Peñasco Mixtec,North America,17.2837,-97.5413,xtm,Otomanguean
coca1259,Cocama-Cocamilla,South America,-4.5,-74.0,cod,Tupian
emer1243,Teko,South America,3.23694,-52.3699,eme,Tupian
iris1253,Irish,Eurasia,53.2186,-7.61509,gle,Indo-European
mezo1235,Mezontla Popoloca,North America,18.1442,-97.5879,pbe,Otomanguean
sier1250,Sierra de Juárez Zapotec,North America,17.4219,-96.6191,zaa,Otomanguean
para1311,Paraguayan Guaraní,South America,-25.60551,-57.08816,gug,Tupian
bamb1269,Bambara,Africa,12.9,-7.65,bam,Mande
tuka1248,Tukang Besi North,Papunesia,-5.30994,123.578,khc,Austronesian
laoo1244,Lao,Eurasia,19.0,102.46,lao,Tai-Kadai
yoru1245,Yoruba,Africa,7.15345,3.67225,yor,Atlantic-Congo
